"","row","column","cor","p"
"1","timedelta","n_tokens_title",-0.240319669246674,0
"2","timedelta","n_tokens_content",-0.0628668367862701,0
"3","n_tokens_title","n_tokens_content",0.0181596484035254,0.000299287883011257
"4","timedelta","n_unique_tokens",0.00286616035737097,0.568231042932886
"5","n_tokens_title","n_unique_tokens",-0.00531822489574552,0.289656583913291
"6","n_tokens_content","n_unique_tokens",-0.00473668519407511,0.345636138795543
"7","timedelta","n_non_stop_words",8.93253818503581e-05,0.985810500096574
"8","n_tokens_title","n_non_stop_words",-0.00475391326472163,0.343884590402236
"9","n_tokens_content","n_non_stop_words",0.0175117533653975,0.0004886763492844
"10","n_unique_tokens","n_non_stop_words",0.999571740627289,0
"11","timedelta","n_non_stop_unique_tokens",0.00380487530492246,0.448714429057867
"12","n_tokens_title","n_non_stop_unique_tokens",-0.00541976140812039,0.28054680097192
"13","n_tokens_content","n_non_stop_unique_tokens",0.000373251241398975,0.940759764422427
"14","n_unique_tokens","n_non_stop_unique_tokens",0.999851524829865,0
"15","n_non_stop_words","n_non_stop_unique_tokens",0.999532341957092,0
"16","timedelta","num_hrefs",-0.000832066172733903,0.86841992594794
"17","n_tokens_title","num_hrefs",-0.0534962490200996,0
"18","n_tokens_content","num_hrefs",0.423065096139908,0
"19","n_unique_tokens","num_hrefs",-0.00435164803639054,0.38625726714779
"20","n_non_stop_words","num_hrefs",0.00552103156223893,0.271656711713862
"21","n_non_stop_unique_tokens","num_hrefs",-0.00498348940163851,0.321086543026217
"22","timedelta","num_self_hrefs",0.0645304545760155,0
"23","n_tokens_title","num_self_hrefs",-0.014856175519526,0.00309588372494929
"24","n_tokens_content","num_self_hrefs",0.30468213558197,0
"25","n_unique_tokens","num_self_hrefs",0.00662032933905721,0.187458966483729
"26","n_non_stop_words","num_self_hrefs",0.0135976290330291,0.00678050086024307
"27","n_non_stop_unique_tokens","num_self_hrefs",0.0075844912789762,0.131016104883686
"28","num_hrefs","num_self_hrefs",0.396452367305756,0
"29","timedelta","num_imgs",-0.0276359040290117,3.72520203573146e-08
"30","n_tokens_title","num_imgs",-0.00885831192135811,0.0777757879060408
"31","n_tokens_content","num_imgs",0.342600405216217,0
"32","n_unique_tokens","num_imgs",0.0188017413020134,0.000181265046138135
"33","n_non_stop_words","num_imgs",0.0284862387925386,1.40473508380978e-08
"34","n_non_stop_unique_tokens","num_imgs",0.0142300603911281,0.00460595879341952
"35","num_hrefs","num_imgs",0.342633217573166,0
"36","num_self_hrefs","num_imgs",0.238586157560349,0
"37","timedelta","num_videos",0.000935717427637428,0.852207153397849
"38","n_tokens_title","num_videos",0.0514601841568947,0
"39","n_tokens_content","num_videos",0.103698566555977,0
"40","n_unique_tokens","num_videos",-0.000597497448325157,0.905304837305907
"41","n_non_stop_words","num_videos",-0.000899193692021072,0.857913314591341
"42","n_non_stop_unique_tokens","num_videos",-0.000962638005148619,0.848006237888978
"43","num_hrefs","num_videos",0.114518247544765,0
"44","num_self_hrefs","num_videos",0.077458031475544,0
"45","num_imgs","num_videos",-0.0673360601067543,0
"46","timedelta","average_token_length",0.130464881658554,0
"47","n_tokens_title","average_token_length",-0.0714025422930717,0
"48","n_tokens_content","average_token_length",0.167789176106453,0
"49","n_unique_tokens","average_token_length",0.0264069158583879,1.451723217194e-07
"50","n_non_stop_words","average_token_length",0.0315535441040993,3.30119709346377e-10
"51","n_non_stop_unique_tokens","average_token_length",0.0341853015124798,9.87299131338659e-12
"52","num_hrefs","average_token_length",0.222587674856186,0
"53","num_self_hrefs","average_token_length",0.126879259943962,0
"54","num_imgs","average_token_length",0.0339241437613964,1.41560096977855e-11
"55","num_videos","average_token_length",-0.00294025521725416,0.558271277259907
"56","timedelta","num_keywords",0.0468835458159447,0
"57","n_tokens_title","num_keywords",-0.00607695709913969,0.226300435927654
"58","n_tokens_content","num_keywords",0.0728447809815407,0
"59","n_unique_tokens","num_keywords",-0.00367945106700063,0.463810019061637
"60","n_non_stop_words","num_keywords",-0.0014388628769666,0.774510325485958
"61","n_non_stop_unique_tokens","num_keywords",-0.00443967338651419,0.37672265370522
"62","num_hrefs","num_keywords",0.125890493392944,0
"63","num_self_hrefs","num_keywords",0.0995784923434258,0
"64","num_imgs","num_keywords",0.0884320884943008,0
"65","num_videos","num_keywords",-0.0222569536417723,9.33859828000649e-06
"66","average_token_length","num_keywords",-0.0168141014873981,0.0008141070214156
"67","timedelta","data_channel_is_lifestyle",0.0544917620718479,0
"68","n_tokens_title","data_channel_is_lifestyle",-0.0708153024315834,0
"69","n_tokens_content","data_channel_is_lifestyle",0.0375482924282551,7.50510764646606e-14
"70","n_unique_tokens","data_channel_is_lifestyle",-0.0016528726555407,0.742087636371063
"71","n_non_stop_words","data_channel_is_lifestyle",-0.000314123928546906,0.950130722475823
"72","n_non_stop_unique_tokens","data_channel_is_lifestyle",-0.000416698603658006,0.933879037502664
"73","num_hrefs","data_channel_is_lifestyle",0.0529056265950203,0
"74","num_self_hrefs","data_channel_is_lifestyle",-0.0476682558655739,0
"75","num_imgs","data_channel_is_lifestyle",0.0102602569386363,0.0410634569491246
"76","num_videos","data_channel_is_lifestyle",-0.0446023978292942,0
"77","average_token_length","data_channel_is_lifestyle",0.0111605282872915,0.0262731891132986
"78","num_keywords","data_channel_is_lifestyle",0.12457774579525,0
"79","timedelta","data_channel_is_entertainment",-0.0491091199219227,0
"80","n_tokens_title","data_channel_is_entertainment",0.132790595293045,0
"81","n_tokens_content","data_channel_is_entertainment",0.0601997822523117,0
"82","n_unique_tokens","data_channel_is_entertainment",0.0110161807388067,0.0282780524340567
"83","n_non_stop_words","data_channel_is_entertainment",0.0109029980376363,0.0299409764509551
"84","n_non_stop_unique_tokens","data_channel_is_entertainment",0.0105536691844463,0.0356135576592176
"85","num_hrefs","data_channel_is_entertainment",-0.00796769373118877,0.11264705735001
